tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,Adult,Animation,Fantasy,Game-Show,History,Music,Musical,News,Reality-TV,Sci-Fi,Short,Sport,Talk-Show,War,Western,averageRating,numVotes,budget,revenue,isTopActor,isTopDirector
tt6997426,Sad Hill Unearthed,Desenterrando Sad Hill,0,2017,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,1517.0,170000,22834,True,True
tt6997642,Ribbon,Ribbon,0,2017,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,630.0,1600000,5400000,False,False
tt6998518,Mandy,Mandy,0,2018,121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.6,71934.0,6000000,1214525,True,False
tt6998626,The Quest,Ringan,0,2017,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,88.0,30000000,57400547,False,False
tt7002100,Coco,Coco,0,2017,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,37.0,175000000,800526015,False,False
tt7014006,Eighth Grade,Eighth Grade,0,2018,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,70900.0,2000000,13539709,False,False
tt7014356,Anastasia,Anastasia: Once Upon a Time,0,2020,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.9,661.0,53000000,139804348,False,False
tt7016254,Synonyms,Synonymes,0,2019,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,5465.0,2500000,242483,False,False
tt7016298,Animal Kingdom,Animal Kingdom,0,2017,121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.5,29.0,5000000,1000000,False,True
tt7022402,Method,Method,0,2017,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,882.0,15000000,27462041,False,False
tt7025210,The Cell,El-Khaliyyah,0,2017,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,1768.0,33000000,104155843,False,False
