# director_name
Frances H. Flaherty
Jonas Mekas
Boris Barnet
Wojciech Has
Miguel Arteta
Nikita Mikhalkov
Andrzej Zulawski
Pietro Germi
Peter Kubelka
Marcel Camus
Morton DaCosta
Sylvain Chomet
Irving Rapper
Edward F. Cline
Harmony Korine
Barbra Streisand
Bertrand Blier
Gianni Amelio
Ted Demme
Gordon Douglas
Mark Rydell
Hark Tsui
Aleksey Balabanov
Nancy Meyers
Howard Hughes
Clara Law
Ram Gopal Varma
Carlos Diegues
Stephen Quay
Jan Nemec
Harry Smith
Richard Marquand
Luca Guadagnino
Ava DuVernay
Taika Waititi
John Carney
Paul Mazursky
Gene Saks
Archie Mayo
Carroll Ballard
Vincent Gallo
Chang-dong Lee
Hideo Nakata
Jack Chambers
Martin Campbell
Richard Eyre
Jackie Chan
Anthony Asquith
Nick Broomfield
Roy Ward Baker
David Yates
Sean Durkin
Marleen Gorris
Peter Glenville
Amos Gitai
Tom Ford
Mike Mills
Charles Jarrott
Shin'ya Tsukamoto
Yuri Norstein
Barbara Loden
Randal Kleiser
Forugh Farrokhzad
William Keighley
Souleymane Cissé
Kamal Amrohi
Bruce Conner
Sergey Bondarchuk
Claude Berri
Joseph Cornell
Mark Donskoy
George Dunning
Marguerite Duras
Hollis Frampton
Norman Z. McLeod
Godfrey Reggio
Jean Genet
Jacques Feyder
Aleksey German
Hans-Jürgen Syberberg
Joris Ivens
Eli Roth
Tate Taylor
Octavio Getino
H.C. Potter
Mehboob Khan
Dagur Kári
Tom DiCillo
Frank Tuttle
Jean Rollin
Jack Lemmon
Walt Disney
James McTeigue
Robert Lepage
Anders Thomas Jensen
Katsuhiro Ôtomo
Walter Ruttmann
Kazuo Hara
Artavazd Peleshian
Helmut Käutner
Lotte Reiniger
Leontine Sagan
Werner Schroeter
Gary Trousdale
Jack Smith
Chris Noonan
Al Reinert
J.A. Bayona
Abderrahmane Sissako
Stephen Chow
Lisandro Alonso
Yôjirô Takita
Jeffrey Blitz
John M. Stahl
Marco Bellocchio
Barbara Kopple
Tex Avery
Lav Diaz
Todd Phillips
Louis Lumière
John McNaughton
Noriaki Tsuchimoto
Euzhan Palcy
Marcel Pagnol
Fred Niblo
Ray Enright
Joshua Marston
